query_group,search_term,title,description,subject,dataProvider,type,country
geographic,India,India,,,Library of the Wroclaw University,TEXT,['Poland']
geographic,India,India SONG,,,National Audiovisual Institute France,SOUND,['France']
geographic,India,India (De),,,Marucelliana Library,TEXT,['Italy']
geographic,India,India orientalis,,,Marciana National Library,IMAGE,['Italy']
geographic,India,India orien.,,,University Library of Genova,IMAGE,['Italy']
geographic,India,India vetus,,,University Library of Genova,IMAGE,['Italy']
geographic,India,India Orientalis.,,,University Library of Genova,IMAGE,['Italy']
geographic,India,India orientalis,,,University Library of Genova,IMAGE,['Italy']
geographic,India,India Orientalis,,,University Library of Genova,IMAGE,['Italy']
geographic,India,India Antony,India Antony,,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Alexandre na India,Monografia,,Calouste Gulbenkian Foundation,TEXT,['Portugal']
geographic,India,India,"Barev. 49 x 56 cm na listu 57 x 62 cm, vlepeno v deskách 25 x 17 cm Měřítko [ca 1:8 000 000]. 6,4 cm = 320 miles (061°31´24&quot; v.d.--104°59´07&quot; v.d./037°38´56&quot; s.š.--000°23´43&quot; s.š.)",,Map Collection UK,TEXT,['Czech Republic']
geographic,India,Road map of India,De bladen overlappen elkaar gedeeltelijk;; Elk blad met bladoverzicht van de hele serie,,VU University Amsterdam Library,IMAGE,['Netherlands']
geographic,India,"Leh, India",sündmuse kommentaar: Leh asub 3524 meetri kõrgusel,,Under and Tuglas Literature Centre,IMAGE,['Estonia']
geographic,India,India Attendamento,,,Cinecittà - Luce,IMAGE,['Italy']
geographic,India,India Ritratto,,,Cinecittà - Luce,IMAGE,['Italy']
geographic,India,India.,"Barev. sestavená 94 x 59 cm, na listech 57 x 72 cm Měřítko [ca 1:4 430 000]. 10,9 cm = 300 english miles. 11,3 cm = 500 kilometres (066°00´21&quot; v.d.--092°01´17&quot; v.d./037°16´58&quot; s.š.--003°15´13&quot; s.š.)",,Map Collection UK,IMAGE,['Czech Republic']
geographic,India,India misteriosa,,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,"L' India, l'isola di Seilan (India cisgangetica)",,,Marciana National Library,IMAGE,['Italy']
geographic,India,India favolosa,,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,Hotel India,ground plan,,https://uri.hr/indigo/org:muo,IMAGE,['Croatia']
geographic,India,Hotel India,perspective view of the facade,,https://uri.hr/indigo/org:muo,IMAGE,['Croatia']
geographic,India,INDIA ELEGANTE,Registration of the title at the foot of the image,,National Library of Spain,TEXT,['Spain']
geographic,India,"nuova India
				                 
				                 New India",,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,West India Docks,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,West India Docks,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,Emp of India,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,"New India or, India in transition",Popular ed.,,"Bodleian Libraries, University of Oxford",TEXT,['United Kingdom']
geographic,India,East India Lighter,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,Scarcity in India,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,East India House,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,Nell'India misteriosa,,,Internet Culturale,SOUND,['Italy']
geographic,India,India [Unidentified Film],"The film is shot in India in the early twentieth century (?), and displays boys performing several contortion tricks, musicians playing traditional instruments and a fakir juggling. The crowd rushes to the river of the Ganges.
				 The video is a copy from the film print held by the Museo Nazionale del Cinema: 35mm, positive, acetate, 473 m, black and white, without intertitles, silent.",,National Museum of Cinema,VIDEO,['Italy']
geographic,India,Isole dell'India,,,Marciana National Library,IMAGE,['Italy']
geographic,India,[Map of India],"Barev. 26 x 33 cm na listech 36 x 42 cm Měřítko [ca 1:2 200 000]. 7,3 cm = 100 British Miles (067°51´05&quot; v.d.--092°35´33&quot; v.d./033°30´17&quot; s.š.--005°39´34&quot; s.š.)",,Map Collection UK,IMAGE,['Czech Republic']
geographic,India,India,,,Digital Memory of Catalonia,IMAGE,['Spain']
geographic,India,India: Série de valsas,Monografia,,National Library of Portugal,TEXT,['Portugal']
geographic,India,India - Matri Bhumi\ n\ t\ n\ t India - Matribhuni.,,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,India,"Harta a fost creată în anul 1635, în perioada de apogeu a școlii cartografice olandeze, secolul al XVII-lea fiind supranumit “secolul de aur"". Reprezintă India, identificată de autor cu însuși Orientul",,Brașov County History Museum,IMAGE,['Romania']
geographic,India,India,"Lettering: The manufacture of opium in India. photo: Bourne & Shepherd, Calcutta.",,Wellcome Collection,IMAGE,['United Kingdom']
geographic,India,India :,,,International Institute of Social History,IMAGE,['Netherlands']
geographic,India,Gateway of India,"Reisefotos. Bombay. Gateway of India. Errichtet zur Erinnerung an den Besuch König Georg V. von Großbritannien in Indien 1911, wo er in Delhi zum Kaiser von Indien gekrönt wurde",,Deutsche Fotothek,IMAGE,['Germany']
geographic,India,India,Border Regiment in India,,Cumbria Archives and Local Studies Department,IMAGE,['United Kingdom']
geographic,India,India,Border Regiment Police in India,,Cumbria Archives and Local Studies Department,IMAGE,['United Kingdom']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,Fascinating India 3D,"German movie poster of ""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Suicides in India,"Across the world, India has the highest suicide rate: one out of every three suicides is committed on the subcontinent. That's according to a decade-long study recently published by the World Health Organization or WHO. The report says that some 250,000 people killed themselves in India in 2012 alone. Report: Murali Krishnan, New Delhi",,Deutsche Welle,SOUND,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,India Una cattedrale,,,Cinecittà - Luce,IMAGE,['Italy']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Telenotícies,India successfully launches its first nuclear-capable intercontinental missile. It has enough scope to reach Beijing and Shanghai.,,TV3 Catalan Television,VIDEO,['Spain']
geographic,India,Fascinating India 3D,"German movie poster of ""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Volo in India.,Un viaggio attraverso l'India alla scoperta delle sue bellezze artistiche e naturali.,,Cinecittà - Luce,VIDEO,['Italy']
geographic,India,India a market,,,Cinecittà - Luce,IMAGE,['Italy']
geographic,India,[Índia],Viatge familiar a l'Índia.,,Ajuntament de Girona,VIDEO,['Spain']
geographic,India,Fico d'india,"Achille Manzotti presents Fico d'India. Renato Pozzetto, Aldo Maccione, Gloria Dei, directed by Steno. Titanus, director of photography: Carlo Carlini, music by Giancarlo Chiaramello, music editions Nationalmusic Milano, an Intercontinental film company production, color of Telecolor",,Provincial Library Magna Capitana,IMAGE,['Italy']
